,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Jun 24, 1996 Ichkeul National Park Tunisia","(0.24, 'report iucn presented twentieth extraordinary session bureau world heritage')","(0, '')","(0.2790697674418605, 'extraordinary session bureau world heritage')","(0.23636363636363633, 'bureau informed report iucn presented twentieth extraordinary session bureau world heritage committee examined')","(0.25757575757575757, 'report iucn presented twentieth extraordinary session bureau world')","(0, '')","(0.29032258064516125, 'report iucn presented twentieth')","(0.3013698630136986, 'presented twentieth extraordinary session bureau world heritage committee')","(0.2823529411764706, 'report iucn presented twentieth extraordinary session bureau world heritage committee')","(0.2954545454545454, 'twentieth extraordinary session bureau world')","(0.25, 'report iucn presented twentieth extraordinary session bureau')","(0, '')","(0, '')","(0.22352941176470587, 'report iucn presented twentieth extraordinary session bureau world heritage committee')","(0.273972602739726, 'presented twentieth extraordinary session bureau world heritage committee')","(0.24637681159420288, 'bureau informed report iucn presented twentieth extraordinary session')","(0.2465753424657534, 'presented twentieth extraordinary session bureau world heritage committee')","(0.24637681159420288, 'bureau informed report iucn presented twentieth extraordinary session')","(0.2857142857142857, 'presented twentieth extraordinary session bureau world heritage')","(0.28, 'report iucn presented twentieth extraordinary session bureau world heritage')","(0.24705882352941178, 'report iucn presented twentieth extraordinary session bureau world heritage committee')","(0.31666666666666665, 'report iucn presented twentieth extraordinary session bureau')","(0, '')","(0, '')","(0.22352941176470587, 'report iucn presented twentieth extraordinary session bureau world heritage committee')","(0.30666666666666664, 'report iucn presented twentieth extraordinary session bureau world heritage')","(0.2823529411764706, 'report iucn presented twentieth extraordinary session bureau world heritage committee')","(0, '')","(0, '')","(0, '')","(0.2777777777777778, 'presented twentieth extraordinary session bureau world')","(0.20792079207920788, 'bureau informed report iucn presented twentieth extraordinary session bureau world heritage committee')","(0.3058823529411765, 'report iucn presented twentieth extraordinary session bureau world heritage committee')"
"Jun 24, 1996 Komodo National Park Indonesia","(0.3466666666666667, 'commending detailed state conservation report received komodo national park')","(0.2781456953642384, 'letter appreciation indonesian authorities expressing satisfaction actions taken commending detailed state conservation report received komodo national')","(0.31818181818181823, 'conservation report received komodo national')","(0.3097345132743363, 'commending detailed state conservation report received komodo national park directorate general forest protection')","(0.4285714285714286, 'commending detailed state conservation report received komodo national')","(0.26356589147286824, 'satisfaction actions taken commending detailed state conservation report received komodo national park directorate general forest')","(0.29032258064516125, 'park directorate general forest')","(0.32835820895522383, 'state conservation report received komodo national park directorate')","(0.30000000000000004, 'letter appreciation indonesian authorities expressing satisfaction actions taken commending detailed')","(0.37777777777777777, 'commending detailed state conservation report')","(0.2833333333333333, 'taken commending detailed state conservation report received')","(0.29007633587786263, 'indonesian authorities expressing satisfaction actions taken commending detailed state conservation report received komodo national')","(0.2953020134228188, 'bureau requested centre write letter appreciation indonesian authorities expressing satisfaction actions taken commending detailed state conservation')","(0.26, 'letter appreciation indonesian authorities expressing satisfaction actions taken commending detailed')","(0.3623188405797102, 'general forest protection nature conservation ministry forestry dated')","(0.30434782608695654, 'general forest protection nature conservation ministry forestry dated')","(0.28985507246376807, 'general forest protection nature conservation ministry forestry dated')","(0.32307692307692304, 'komodo national park directorate general forest protection nature')","(0.38983050847457623, 'detailed state conservation report received komodo national')","(0.34615384615384615, 'komodo national park directorate general forest protection nature conservation')","(0.32608695652173914, 'expressing satisfaction actions taken commending detailed state conservation report received')","(0.3793103448275862, 'komodo national park directorate general forest protection')","(0.29323308270676696, 'commending detailed state conservation report received komodo national park directorate general forest protection nature conservation')","(0.33333333333333337, 'write letter appreciation indonesian authorities expressing satisfaction actions taken commending detailed state conservation report')","(0.2674418604651163, 'park directorate general forest protection nature conservation ministry forestry dated')","(0.3125, 'park directorate general forest protection nature conservation ministry forestry')","(0.2934782608695652, 'expressing satisfaction actions taken commending detailed state conservation report received')","(0.2847682119205298, 'expressing satisfaction actions taken commending detailed state conservation report received komodo national park directorate general forest protection')","(0.2715231788079471, 'letter appreciation indonesian authorities expressing satisfaction actions taken commending detailed state conservation report received komodo national')","(0.32799999999999996, 'conservation report received komodo national park directorate general forest protection nature conservation ministry forestry')","(0.42592592592592593, 'protection nature conservation ministry forestry dated')","(0.25, 'write letter appreciation indonesian authorities expressing satisfaction actions taken commending detailed state')","(0.31034482758620685, 'komodo national park directorate general forest protection nature conservation ministry')"
"Jun 24, 1996 Medina of Fez Morocco","(0.2875, 'expressed warm thanks national authorities morocco cultural heritage directorate')","(0.2773722627737226, 'minister cultural affairs kingdom morocco ensure safeguarding medina fez threatening automobile circulation project bureau expressed warm')","(0.30000000000000004, 'regard preservation cultural values site')","(0.2920353982300885, 'fez threatening automobile circulation project bureau expressed warm thanks national authorities morocco cultural')","(0.3088235294117647, 'automobile circulation project bureau expressed warm thanks national')","(0.25735294117647056, 'informed secretariat measures undertaken minister cultural affairs kingdom morocco ensure safeguarding medina fez threatening automobile')","(0.275, 'secretariat measures undertaken minister')","(0.3246753246753247, 'thanks national authorities morocco cultural heritage directorate recommended')","(0.30434782608695654, 'economic development projects envisaged assistance world bank rehabilitation medina continue')","(0.3111111111111111, 'bank rehabilitation medina continue carefully')","(0.3389830508474576, 'automobile circulation project bureau expressed warm thanks')","(0.2755905511811023, 'projects envisaged assistance world bank rehabilitation medina continue carefully evaluated regard preservation cultural values')","(0.24285714285714288, 'thanks national authorities morocco cultural heritage directorate recommended continue vigilant regard new project kind economic development')","(0.26136363636363635, 'automobile circulation project bureau expressed warm thanks national authorities morocco')","(0.2727272727272727, 'thanks national authorities morocco cultural heritage directorate recommended')","(0.27142857142857146, 'cultural heritage directorate recommended continue vigilant regard new')","(0.34328358208955223, 'regard new project kind economic development projects envisaged')","(0.2857142857142857, 'cultural heritage directorate recommended continue vigilant regard new')","(0.339622641509434, 'vigilant regard new project kind economic development')","(0.313953488372093, 'thanks national authorities morocco cultural heritage directorate recommended continue')","(0.29670329670329665, 'bank rehabilitation medina continue carefully evaluated regard preservation cultural values')","(0.38596491228070173, 'circulation project bureau expressed warm thanks national')","(0.26190476190476186, 'regard new project kind economic development projects envisaged assistance world bank rehabilitation medina continue carefully')","(0.282258064516129, 'kind economic development projects envisaged assistance world bank rehabilitation medina continue carefully evaluated regard')","(0.2808988764044944, 'project kind economic development projects envisaged assistance world bank rehabilitation')","(0.35, 'automobile circulation project bureau expressed warm thanks national authorities')","(0.3820224719101124, 'project kind economic development projects envisaged assistance world bank rehabilitation')","(0.2896551724137931, 'cultural heritage directorate recommended continue vigilant regard new project kind economic development projects envisaged assistance world bank')","(0.30714285714285716, 'cultural heritage directorate recommended continue vigilant regard new project kind economic development projects envisaged assistance world')","(0.32173913043478264, 'recommended continue vigilant regard new project kind economic development projects envisaged assistance world bank')","(0.38, 'evaluated regard preservation cultural values site')","(0.2432432432432432, 'projects envisaged assistance world bank rehabilitation medina continue carefully evaluated regard preservation')","(0.31818181818181823, 'automobile circulation project bureau expressed warm thanks national authorities morocco')"
"Jun 24, 1996 Manas Wildlife Sanctuary India","(0.2948717948717948, 'discussion n absence precise information uncertainties remain concerning state')","(0.2706766917293233, 'report available next session bureau scheduling mission site discussion n absence precise information uncertainties remain concerning')","(0.36585365853658536, 'state conservation site bureau reiterated')","(0.34285714285714286, 'concerning state conservation site bureau reiterated request state party detailed updated report meantime')","(0.3731343283582089, 'remain concerning state conservation site bureau reiterated request')","(0.26356589147286824, 'information uncertainties remain concerning state conservation site bureau reiterated request state party detailed updated report')","(0.32258064516129037, 'rhino specialist group recently')","(0.32352941176470584, 'detailed updated report meantime bureau recommended committee retain')","(0.32499999999999996, 'state party detailed updated report meantime bureau recommended committee retain')","(0.41463414634146345, 'concerning state conservation site bureau')","(0.3220338983050848, 'site discussion n absence precise information uncertainties')","(0.2767857142857143, 'new delhi assam manas iucn informed bureau member rhino specialist group recently visited site')","(0.2713178294573644, 'nineteenth session committee observer india invited members world heritage committee director centre visit new delhi assam')","(0.2564102564102564, 'state conservation site bureau reiterated request state party detailed updated')","(0.360655737704918, 'state conservation site bureau reiterated request state party')","(0.25373134328358204, 'remain concerning state conservation site bureau reiterated request')","(0.29850746268656714, 'director centre visit new delhi assam manas iucn')","(0.2857142857142857, 'bureau recalled site included list world heritage danger')","(0.32258064516129037, 'uncertainties remain concerning state conservation site bureau')","(0.3294117647058824, 'information uncertainties remain concerning state conservation site bureau reiterated')","(0.3222222222222222, 'absence precise information uncertainties remain concerning state conservation site bureau')","(0.34545454545454546, 'conservation site bureau reiterated request state party')","(0.2786885245901639, 'report available next session bureau scheduling mission site discussion n absence precise information uncertainties remain')","(0.24137931034482762, 'mission site discussion n absence precise information uncertainties remain concerning state conservation site bureau')","(0.3125, 'remain concerning state conservation site bureau reiterated request state party')","(0.3835616438356164, 'remain concerning state conservation site bureau reiterated request state')","(0.29032258064516125, 'information uncertainties remain concerning state conservation site bureau reiterated request')","(0.2517482517482518, 'discussion n absence precise information uncertainties remain concerning state conservation site bureau reiterated request state party detailed')","(0.2846153846153846, 'state conservation site bureau reiterated request state party detailed updated report meantime bureau recommended committee retain')","(0.2857142857142857, 'concerning state conservation site bureau reiterated request state party detailed updated report meantime bureau')","(0.4423076923076923, 'concerning state conservation site bureau reiterated')","(0.2680412371134021, 'director centre visit new delhi assam manas iucn informed bureau member rhino')","(0.30107526881720426, 'information uncertainties remain concerning state conservation site bureau reiterated request')"
"Jun 24, 1996 Mosioa TunyaVictoria Falls ZambiaZimbabwe","(0.2530120481927711, 'letter commending governments actions undertaken encourage complete management plan')","(0.24615384615384617, 'completed n bureau requested centre write letter commending governments actions undertaken encourage complete management plan site')","(0.2857142857142857, 'concerning joint zambia zimbabwe strategic')","(0.33333333333333337, 'management plan preparation first draft completed n bureau requested centre write letter commending')","(0.2948717948717948, 'letter commending governments actions undertaken encourage complete management')","(0.2796610169491526, 'centre write letter commending governments actions undertaken encourage complete management plan site would give focus')","(0.33333333333333337, 'falls area held march')","(0.323943661971831, 'centre write letter commending governments actions undertaken encourage')","(0.30487804878048785, 'note report provided iucn sustainable development workshop concerning joint zambia')","(0.3589743589743589, 'management plan preparation first draft')","(0.29230769230769227, 'workshop concerning joint zambia zimbabwe strategic environmental')","(0.2767857142857143, 'first draft completed n bureau requested centre write letter commending governments actions undertaken encourage')","(0.2325581395348837, 'bureau informed joint management plan preparation first draft completed n bureau requested centre write letter commending')","(0.34090909090909094, 'bureau requested centre write letter commending governments actions undertaken encourage')","(0.28205128205128205, 'letter commending governments actions undertaken encourage complete management')","(0.2666666666666667, 'plan preparation first draft completed n bureau requested')","(0.4776119402985075, 'bureau took note report provided iucn sustainable development')","(0.33333333333333337, 'note report provided iucn sustainable development workshop concerning')","(0.31481481481481477, 'informed joint management plan preparation first draft')","(0.30000000000000004, 'centre write letter commending governments actions undertaken encourage complete')","(0.32098765432098764, 'governments actions undertaken encourage complete management plan site would give')","(0.34426229508196726, 'livingstone bureau informed joint management plan preparation')","(0.2571428571428571, 'sustainable development workshop concerning joint zambia zimbabwe strategic environmental assessment tourism development victoria falls area')","(0.26356589147286824, 'report provided iucn sustainable development workshop concerning joint zambia zimbabwe strategic environmental assessment tourism')","(0.32291666666666663, 'workshop concerning joint zambia zimbabwe strategic environmental assessment tourism development')","(0.3125, 'centre write letter commending governments actions undertaken encourage complete')","(0.3707865168539326, 'provided iucn sustainable development workshop concerning joint zambia zimbabwe strategic')","(0.3287671232876712, 'workshop concerning joint zambia zimbabwe strategic environmental assessment tourism development victoria falls area held march livingstone bureau')","(0.3237410071942446, 'workshop concerning joint zambia zimbabwe strategic environmental assessment tourism development victoria falls area held march livingstone')","(0.3220338983050848, 'concerning joint zambia zimbabwe strategic environmental assessment tourism development victoria falls area held march')","(0.3877551020408163, 'management plan preparation first draft completed')","(0.2551020408163265, 'commending governments actions undertaken encourage complete management plan site would give focus')","(0.2954545454545454, 'bureau requested centre write letter commending governments actions undertaken encourage')"
"Jun 24, 1996 Requests for International Assistance Requests concerning Promotional Activities","(0.31506849315068497, 'national park ecuador us n bureau recalled total amount')","(0.19841269841269837, 'preparation interpretation materials galapagos national park ecuador us n bureau recalled total amount promotion already fully')","(0.2777777777777778, 'total amount promotion already fully')","(0.28431372549019607, 'preparation interpretation materials galapagos national park ecuador us n bureau recalled total amount')","(0.323943661971831, 'preparation interpretation materials galapagos national park ecuador us')","(0.25, 'preparation interpretation materials galapagos national park ecuador us n bureau recalled total amount promotion already')","(0.2941176470588235, 'park ecuador us n')","(0.2816901408450704, 'preparation interpretation materials galapagos national park ecuador us')","(0.26249999999999996, 'preparation interpretation materials galapagos national park ecuador us n bureau')","(0.33333333333333337, 'recalled total amount promotion already')","(0.23636363636363633, 'recalled total amount promotion already fully committed')","(0.2321428571428571, 'galapagos national park ecuador us n bureau recalled total amount promotion already fully committed')","(0.24031007751937983, 'preparation interpretation materials galapagos national park ecuador us n bureau recalled total amount promotion already fully')","(0.22972972972972971, 'materials galapagos national park ecuador us n bureau recalled total')","(0.323943661971831, 'preparation interpretation materials galapagos national park ecuador us')","(0.25, 'n bureau recalled total amount promotion already fully')","(0.26865671641791045, 'ecuador us n bureau recalled total amount promotion')","(0.2264150943396226, 'materials galapagos national park ecuador us n bureau')","(0.32558139534883723, 'galapagos national park ecuador us n bureau')","(0.3114754098360656, 'national park ecuador us n bureau recalled total amount')","(0.32499999999999996, 'preparation interpretation materials galapagos national park ecuador us n bureau')","(0.3382352941176471, 'preparation interpretation materials galapagos national park ecuador')","(0.2416666666666667, 'preparation interpretation materials galapagos national park ecuador us n bureau recalled total amount promotion already')","(0.23478260869565215, 'galapagos national park ecuador us n bureau recalled total amount promotion already fully committed')","(0.23750000000000004, 'ecuador us n bureau recalled total amount promotion already fully')","(0.3013698630136986, 'preparation interpretation materials galapagos national park ecuador us n')","(0.25, 'preparation interpretation materials galapagos national park ecuador us n bureau')","(0.19852941176470584, 'preparation interpretation materials galapagos national park ecuador us n bureau recalled total amount promotion already fully committed')","(0.2153846153846154, 'preparation interpretation materials galapagos national park ecuador us n bureau recalled total amount promotion already fully')","(0.3125, 'preparation interpretation materials galapagos national park ecuador us n bureau recalled total amount promotion')","(0.3111111111111111, 'recalled total amount promotion already fully')","(0.25773195876288657, 'preparation interpretation materials galapagos national park ecuador us n bureau recalled total')","(0.3375, 'preparation interpretation materials galapagos national park ecuador us n bureau')"
"Jun 24, 1996 Ruins of Kilwa Kisiwani and Ruins of Songo Mnara Tanzania","(0.28767123287671237, 'tanzania provided state conservation report since obvious site lacks')","(0.23703703703703705, 'tanzania provided state conservation report since obvious site lacks proper documentation management plan bureau recommended management')","(0.42105263157894735, 'conservation report since obvious site')","(0.2857142857142857, 'lacks proper documentation management plan bureau recommended management plan prepared antiquities unit republic')","(0.33870967741935487, 'tanzania provided state conservation report since obvious site')","(0.33606557377049184, 'state conservation report since obvious site lacks proper documentation management plan bureau recommended management plan')","(0.2941176470588235, 'plan bureau recommended management')","(0.3484848484848485, 'antiquities unit tanzania provided state conservation report since')","(0.30666666666666664, 'tanzania provided state conservation report since obvious site lacks proper')","(0.375, 'provided state conservation report since')","(0.31999999999999995, 'state conservation report since obvious site lacks')","(0.2589285714285714, 'unit tanzania provided state conservation report since obvious site lacks proper documentation management plan')","(0.21212121212121215, 'bureau thanked antiquities unit tanzania provided state conservation report since obvious site lacks proper documentation management')","(0.2906976744186046, 'lacks proper documentation management plan bureau recommended management plan prepared')","(0.31666666666666665, 'state conservation report since obvious site lacks proper')","(0.3548387096774194, 'tanzania provided state conservation report since obvious site')","(0.29850746268656714, 'state conservation report since obvious site lacks proper')","(0.29032258064516125, 'tanzania provided state conservation report since obvious site')","(0.37735849056603776, 'provided state conservation report since obvious site')","(0.2941176470588235, 'documentation management plan bureau recommended management plan prepared antiquities')","(0.3222222222222222, 'documentation management plan bureau recommended management plan prepared antiquities unit')","(0.28125, 'documentation management plan bureau recommended management plan')","(0.2564102564102564, 'unit tanzania provided state conservation report since obvious site lacks proper documentation management plan bureau')","(0.25217391304347825, 'bureau thanked antiquities unit tanzania provided state conservation report since obvious site lacks proper')","(0.275, 'report since obvious site lacks proper documentation management plan bureau')","(0.2823529411764706, 'documentation management plan bureau recommended management plan prepared antiquities')","(0.30000000000000004, 'documentation management plan bureau recommended management plan prepared antiquities unit')","(0.2571428571428571, 'tanzania provided state conservation report since obvious site lacks proper documentation management plan bureau recommended management plan')","(0.2384615384615385, 'report since obvious site lacks proper documentation management plan bureau recommended management plan prepared antiquities unit')","(0.29059829059829057, 'since obvious site lacks proper documentation management plan bureau recommended management plan prepared antiquities')","(0.45833333333333337, 'provided state conservation report since obvious')","(0.2912621359223301, 'lacks proper documentation management plan bureau recommended management plan prepared antiquities unit')","(0.2790697674418605, 'lacks proper documentation management plan bureau recommended management plan prepared')"
"Jun 24, 1996 Requests for International Assistance Technical Cooperation  Natural Heritage","(0.3013698630136986, 'n light state conservation report presented site bureau approved')","(0.25806451612903225, 'park nbsp zaire us n bureau recommend request approved committee light findings recent mission site list')","(0.32499999999999996, 'state conservation report presented site')","(0.33999999999999997, 'light state conservation report presented site bureau approved amount us elaboration management plan')","(0.3870967741935484, 'bureau n conservation strategy preparation management plan rio')","(0.2543859649122807, 'report presented site bureau approved amount us elaboration management plan rio platano biosphere reserve honduras')","(0.3548387096774194, 'preparation management plan rio')","(0.31818181818181823, 'orientations identified fact finding mission galapagos islands led')","(0.3012048192771084, 'bureau n architectural design interpretation centre galapagos national park ecuador')","(0.4242424242424242, 'n light state conservation report')","(0.33999999999999997, 'amount us elaboration management plan rio platano')","(0.2678571428571429, 'light state conservation report presented site bureau approved amount us elaboration management plan rio')","(0.26356589147286824, 'reserve honduras n light state conservation report presented site bureau approved amount us elaboration management plan')","(0.3375, 'bureau n conservation strategy preparation management plan rio platano biosphere')","(0.4193548387096774, 'bureau n conservation strategy preparation management plan rio')","(0.2833333333333333, 'plan rio platano biosphere reserve honduras n light')","(0.29850746268656714, 'bureau n conservation strategy preparation management plan rio')","(0.3278688524590164, 'honduras subject submission detailed budget outline request n')","(0.3620689655172413, 'bureau n conservation strategy preparation management plan')","(0.3417721518987342, 'conservation strategy preparation management plan rio platano biosphere reserve')","(0.3295454545454546, 'conservation strategy preparation management plan rio platano biosphere reserve honduras')","(0.39344262295081966, 'conservation strategy preparation management plan rio platano')","(0.24786324786324787, 'n conservation strategy preparation management plan rio platano biosphere reserve honduras n light state conservation')","(0.29565217391304344, 'report presented site bureau approved amount us elaboration management plan rio platano biosphere reserve')","(0.26249999999999996, 'reserve honduras n light state conservation report presented site bureau')","(0.3194444444444444, 'interpretation centre galapagos national park ecuador us bureau recalled')","(0.31818181818181823, 'conservation strategy preparation management plan rio platano biosphere reserve honduras')","(0.2666666666666667, 'fact finding mission galapagos islands led chairperson n technical assistance virunga national park nbsp zaire us n')","(0.27692307692307694, 'state conservation report presented site bureau approved amount us elaboration management plan rio platano biosphere reserve')","(0.33653846153846156, 'n conservation strategy preparation management plan rio platano biosphere reserve honduras n light state')","(0.5, 'light state conservation report presented site')","(0.27835051546391754, 'report presented site bureau approved amount us elaboration management plan rio platano')","(0.3214285714285714, 'architectural design interpretation centre galapagos national park ecuador us bureau')"
"Jun 24, 1996 Mount Nimba Strict Nature Reserve GuineaCxc3xb4te dIvoire","(0.2857142857142857, 'recommendation unesco considers supporting establishment working group create international')","(0.2661290322580645, 'due arrival large number refugees neighbouring countries n bureau took note round table mount nimba held')","(0.3421052631578947, 'collaboration mission fran ccedil aise')","(0.29292929292929293, 'create international foundation mount nimba n bureau commended states parties efforts however given')","(0.32307692307692304, 'environment collaboration mission fran ccedil aise de cooperation')","(0.2857142857142857, 'bureau commended states parties efforts however given uncertainties concerning adequate management site shortcomings regard on')","(0.4, 'regard on site management')","(0.3417721518987342, 'included representatives following donor countries organizations france germany')","(0.3214285714285714, 'following donor countries organizations france germany japan canada wallonian region')","(0.3783783783783784, 'canada wallonian region belgium world')","(0.33333333333333337, 'took note recommendation unesco considers supporting establishment')","(0.288135593220339, 'cooperation et d action culturelle round table included representatives following donor countries organizations france')","(0.2713178294573644, 'due arrival large number refugees neighbouring countries n bureau took note round table mount nimba held')","(0.3076923076923077, 'international foundation mount nimba n bureau commended states parties efforts')","(0.3384615384615385, 'environment collaboration mission fran ccedil aise de cooperation')","(0.29166666666666663, 'uncertainties concerning adequate management site shortcomings regard on')","(0.34328358208955223, 'de cooperation et d action culturelle round table')","(0.3285714285714286, 'action culturelle round table included representatives following donor')","(0.40476190476190477, 'aise de cooperation et d action culturelle')","(0.4, 'international foundation mount nimba n bureau commended states parties')","(0.33333333333333337, 'international foundation mount nimba n bureau commended states parties efforts')","(0.3770491803278688, 'countries organizations france germany japan canada wallonian')","(0.3017241379310345, 'ccedil aise de cooperation et d action culturelle round table included representatives following donor countries')","(0.33043478260869563, 'collaboration mission fran ccedil aise de cooperation et d action culturelle round table included')","(0.3375, 'proposed iron ore mining project threats due arrival large number')","(0.375, 'proposed iron ore mining project threats due arrival large')","(0.33720930232558144, 'however given uncertainties concerning adequate management site shortcomings regard on')","(0.2962962962962963, 'bureau took note round table mount nimba held conakry guinea april organized ministry energy environment collaboration mission')","(0.2928571428571428, 'european union usaid bureau took note recommendation unesco considers supporting establishment working group create international foundation')","(0.29268292682926833, 'table included representatives following donor countries organizations france germany japan canada wallonian region belgium')","(0.4444444444444444, 'aise de cooperation et d action')","(0.27522935779816515, 'action culturelle round table included representatives following donor countries organizations france germany')","(0.3205128205128205, 'international foundation mount nimba n bureau commended states parties efforts')"
"Jun 24, 1996 Roman Monuments in Trier Germany","(0.2692307692307693, 'construction buildings would visible amphitheater involve icomos drawing terms')","(0.2447552447552448, 're consider construction buildings would visible amphitheater involve icomos drawing terms reference architectural competition area immediately')","(0.3555555555555555, 'consider construction buildings would visible')","(0.3113207547169812, 'impact housing construction might impact roman amphitheater trier requested german authorities re consider')","(0.3382352941176471, 'housing construction might impact roman amphitheater trier requested')","(0.275, 'icomos mission examine impact housing construction might impact roman amphitheater trier requested german authorities re')","(0.30000000000000004, 'icomos drawing terms reference')","(0.31081081081081086, 'progress made undertaking architectural competition presented next session')","(0.29885057471264365, 'icomos drawing terms reference architectural competition area immediately north theater')","(0.3414634146341463, 'examine impact housing construction might')","(0.3220338983050848, 'impact housing construction might impact roman amphitheater')","(0.2578125, 'consider construction buildings would visible amphitheater involve icomos drawing terms reference architectural competition area')","(0.23357664233576647, 'examine impact housing construction might impact roman amphitheater trier requested german authorities re consider construction buildings')","(0.2567567567567568, 'bureau took note report joint unesco icomos mission examine impact')","(0.32352941176470584, 'housing construction might impact roman amphitheater trier requested')","(0.31343283582089554, 'german authorities re consider construction buildings would visible')","(0.28358208955223885, 'note report joint unesco icomos mission examine impact')","(0.29729729729729726, 'mission well progress made undertaking architectural competition presented')","(0.3448275862068966, 'housing construction might impact roman amphitheater trier')","(0.2753623188405797, 'might impact roman amphitheater trier requested german authorities re')","(0.28735632183908044, 'housing construction might impact roman amphitheater trier requested german authorities')","(0.3389830508474576, 'competition area immediately north theater bureau requested')","(0.2928571428571428, 'consider construction buildings would visible amphitheater involve icomos drawing terms reference architectural competition area immediately')","(0.24347826086956526, 'report joint unesco icomos mission examine impact housing construction might impact roman amphitheater trier')","(0.25531914893617025, 'amphitheater involve icomos drawing terms reference architectural competition area immediately')","(0.31506849315068497, 'examine impact housing construction might impact roman amphitheater trier')","(0.28409090909090906, 'construction buildings would visible amphitheater involve icomos drawing terms reference')","(0.26, 'architectural competition area immediately north theater bureau requested full report mission well progress made undertaking architectural competition')","(0.2753623188405797, 'architectural competition area immediately north theater bureau requested full report mission well progress made undertaking architectural')","(0.3046875, 'consider construction buildings would visible amphitheater involve icomos drawing terms reference architectural competition area')","(0.34615384615384615, 'authorities re consider construction buildings would')","(0.23711340206185572, 'competition area immediately north theater bureau requested full report mission well progress')","(0.3058823529411765, 'architectural competition area immediately north theater bureau requested full report')"
